"id","name","district_id","created_at","updated_at"
"1","Chitipa East","1","2019-02-12 07:06:14","2019-02-12 07:06:14"
"2","Chitipa South","1","2019-02-12 07:06:14","2019-02-12 07:06:14"
"3","Chitipa Central","1","2019-02-12 07:06:14","2019-02-12 07:06:14"
"4","Chitipa North","1","2019-02-12 07:06:14","2019-02-12 07:06:14"
"5","Chitipa Wenya","1","2019-02-12 07:06:14","2019-02-12 07:06:14"
"6","Karonga North","2","2019-02-12 07:06:14","2019-02-12 07:06:14"
"7","Karonga North West","2","2019-02-12 07:06:14","2019-02-12 07:06:14"
"8","Karonga Central","2","2019-02-12 07:06:14","2019-02-12 07:06:14"
"9","Karonga Nyungwe","2","2019-02-12 07:06:14","2019-02-12 07:06:14"
"10","Karonga South","2","2019-02-12 07:06:14","2019-02-12 07:06:14"
"11","Rumphi East","3","2019-02-12 07:06:14","2019-02-12 07:06:14"
"12","Rumphi Central","3","2019-02-12 07:06:14","2019-02-12 07:06:14"
"13","Rumphi West","3","2019-02-12 07:06:14","2019-02-12 07:06:14"
"14","Rumphi North","3","2019-02-12 07:06:14","2019-02-12 07:06:14"
"15","Nkhatabay North","4","2019-02-12 07:06:14","2019-02-12 07:06:14"
"16","Nkhatabay Central","4","2019-02-12 07:06:14","2019-02-12 07:06:14"
"17","Nkhatabay West","4","2019-02-12 07:06:14","2019-02-12 07:06:14"
"18","Nkhatabay North West","4","2019-02-12 07:06:14","2019-02-12 07:06:14"
"19","Nkhatabay South East","4","2019-02-12 07:06:14","2019-02-12 07:06:14"
"20","Nkhatabay South","4","2019-02-12 07:06:14","2019-02-12 07:06:14"
"21","Likoma Islands","5","2019-02-12 07:06:14","2019-02-12 07:06:14"
"22","Mzuzu City","6","2019-02-12 07:06:14","2019-02-12 07:06:14"
"23","Mzimba North","6","2019-02-12 07:06:14","2019-02-12 07:06:14"
"24","Mzimba North East","6","2019-02-12 07:06:14","2019-02-12 07:06:14"
"25","Mzimba West","6","2019-02-12 07:06:14","2019-02-12 07:06:14"
"26","Mzimba South","6","2019-02-12 07:06:14","2019-02-12 07:06:14"
"27","Mzimba Central","6","2019-02-12 07:06:14","2019-02-12 07:06:14"
