"id","village_name","district_id"
"1","BALAKA TOWNSHIP","17"
"2","HANJAHANJA","17"
"3","KAFISI","17"
"4","KAUMPHAWI","17"
"5","LINGALA","17"
"6","MACHINJIRI","17"
"7","MAJIGA","17"
"8","MPEZENI","17"
"9","MPONDA","17"
"10","MPULULA","17"
"11","MPULULA I","17"
"12","MPULULA II","17"
"13","MPULULA III","17"
"14","CHASUCHILA","17"
"15","CHILEMBWE","17"
"16","CHIMWALIRE","17"
"17","KATUNDU","17"
"18","LIWONDE TOWNSHIP","17"
"19","M'MANGA","17"
"20","MSAMATI","17"
"21","NG'OMBE","17"
"22","NTONYA","17"
"23","SAIWALA","17"
"24","ALI CHAPOLA","17"
"25","MBALU","17"
"26","CHAIMA","17"
"27","CHIPOJOLA","17"
"28","CHIPOLE","17"
"29","SAMUDI","17"
"30","DANKENI","17"
"31","MAKWANA","17"
"32","MAWECHA","17"
"33","MINAMA","17"
"34","MPINGANJIRA","17"
"35","NAKHONYO","17"
"36","YASINI","17"
"37","ADAMU","17"
"38","DAUDI","17"
"39","KUTSAMBA","17"
"40","CHIWANDA","17"
"41","HEREBATI","17"
"42","SIYAYA","17"
"43","DINALA","17"
"44","IDI","17"
"45","KACHENGA TC","17"
"46","MASAUTSO","17"
"47","MIZINGA","17"
"48","MKWATULA","17"
"49","SINKILEYA","17"
"50","ASICK","17"
"51","MAPELERA","17"
"52","SADIKI","17"
"53","DULA","17"
"54","IRIMU","17"
"55","JERADI","17"
"56","KALONGA","17"
"57","LIKWAKWALA","17"
"58","MCHEWERE","17"
"59","APHALILA","17"
"60","AUGASTEIN","17"
"61","KUCHAMBE","17"
"62","MISOZO","17"
"63","THUNGA","17"
"64","ABUDU","17"
"65","CHIPHWANYA","17"
"66","CHIWALO","17"
"67","MAKWELA","17"
"68","MBERA","17"
"69","MTOTA","17"
"70","MULI","17"
"71","SAIDISANI","17"
"72","MBERA TC","17"
"73","KAMWENDO","17"
"74","MFUNDENJI","17"
"75","KANYINDULA","17"
"76","KHAWEREYA","17"
"77","MAJANGA","17"
"78","MISIKIZI","17"
"79","MTIRA","17"
"80","NYALUGWE","17"
"81","ASANI","17"
"82","CHILOBWE","17"
"83","MACHEMBA","17"
"84","MALINDIMA","17"
"85","MPAMASI","17"
"86","MSIGALILA","17"
"87","MGAMBO","17"
"88","CHILIMANI","17"
"89","CHITENGO","17"
"90","KABOTA","17"
"91","MASESE","17"
"92","MKWANDA","17"
"93","NSANJA","17"
"94","NTHUMBWE TC","17"
"95","CHIPOTE","17"
"96","JONASANI","17"
"97","MDELA","17"
"98","WALE","17"
"99","CHIPATALA","17"
"100","KAISI","17"
