"id","name","constituency_id","created_at","updated_at"
"1","Iponjola","1","2019-02-12 07:06:16","2019-02-12 07:06:16"
"2","Kapoka","1","2019-02-12 07:06:16","2019-02-12 07:06:16"
"3","Mahowe","2","2019-02-12 07:06:16","2019-02-12 07:06:16"
"4","Nthalire","2","2019-02-12 07:06:16","2019-02-12 07:06:16"
"5","Zambwe","3","2019-02-12 07:06:16","2019-02-12 07:06:16"
"6","Yamba","3","2019-02-12 07:06:16","2019-02-12 07:06:16"
"7","Nkhangwa","4","2019-02-12 07:06:16","2019-02-12 07:06:16"
"8","Hanga","4","2019-02-12 07:06:16","2019-02-12 07:06:16"
"9","Chisenga","5","2019-02-12 07:06:16","2019-02-12 07:06:16"
"10","Wenya","5","2019-02-12 07:06:16","2019-02-12 07:06:16"
"11","Songwe","6","2019-02-12 07:06:16","2019-02-12 07:06:16"
"12","Kaporo","6","2019-02-12 07:06:16","2019-02-12 07:06:16"
"13","Chilanga","7","2019-02-12 07:06:16","2019-02-12 07:06:16"
"14","Rukuru","7","2019-02-12 07:06:16","2019-02-12 07:06:16"
"15","Lupembe","8","2019-02-12 07:06:16","2019-02-12 07:06:16"
"16","Mlale","8","2019-02-12 07:06:16","2019-02-12 07:06:16"
"17","Nyungwe","9","2019-02-12 07:06:16","2019-02-12 07:06:16"
"18","Zgeba","9","2019-02-12 07:06:16","2019-02-12 07:06:16"
"19","Khwawa","10","2019-02-12 07:06:16","2019-02-12 07:06:16"
"20","Uliwa","10","2019-02-12 07:06:16","2019-02-12 07:06:16"
"21","Tcharo","11","2019-02-12 07:06:16","2019-02-12 07:06:16"
"22","Mchenga","11","2019-02-12 07:06:16","2019-02-12 07:06:16"
"23","Chinyolo/Mphompha","12","2019-02-12 07:06:16","2019-02-12 07:06:16"
"24","Mayembe","12","2019-02-12 07:06:16","2019-02-12 07:06:16"
"25","Hewe - Mwazisi","13","2019-02-12 07:06:16","2019-02-12 07:06:16"
"26","Nkhamanga","13","2019-02-12 07:06:16","2019-02-12 07:06:16"
"27","Henga-Phoka","14","2019-02-12 07:06:16","2019-02-12 07:06:16"
"28","Phoka","14","2019-02-12 07:06:16","2019-02-12 07:06:16"
"29","Usisya","15","2019-02-12 07:06:16","2019-02-12 07:06:16"
"30","Chikwina","15","2019-02-12 07:06:16","2019-02-12 07:06:16"
"31","Boma","16","2019-02-12 07:06:16","2019-02-12 07:06:16"
"32","Kandoli","16","2019-02-12 07:06:16","2019-02-12 07:06:16"
"33","Chitheka","17","2019-02-12 07:06:16","2019-02-12 07:06:16"
"34","Tchesamu","17","2019-02-12 07:06:16","2019-02-12 07:06:16"
"35","Kavuzi","18","2019-02-12 07:06:16","2019-02-12 07:06:16"
"36","Mpamba","18","2019-02-12 07:06:16","2019-02-12 07:06:16"
"37","Sanga","19","2019-02-12 07:06:16","2019-02-12 07:06:16"
"38","Chintheche","19","2019-02-12 07:06:16","2019-02-12 07:06:16"
"39","Tukombo","20","2019-02-12 07:06:16","2019-02-12 07:06:16"
"40","Mbamba","20","2019-02-12 07:06:16","2019-02-12 07:06:16"
"41","Likoma","21","2019-02-12 07:06:16","2019-02-12 07:06:16"
